,team,teamid,elo,Wins,Losses,league
0,100 Thieves,1,1696.7219533,28.0,9.0,LCK
1,Ascension Gaming,10,1445.21098622,2.0,1.0,EULCS
2,KT Rolster,100,1885.9483609,107.0,57.0,LCK
3,KaBuM e-Sports,101,1611.47439281,30.0,24.0,CBLoL
4,KaBuM eSports,101,1611.47439281,30.0,24.0,CBLoL
5,Kaos Latin Gamers,103,1379.28958466,2.0,7.0,EULCS
6,Keyd Stars,104,1578.72718737,22.0,18.0,CBLoL
7,Kinguin,105,1445.21582978,2.0,3.0,EUCS
8,Kingzone DragonX,106,1798.16122565,94.0,59.0,LCK
9,Longzhu Gaming,106,1798.16122565,94.0,59.0,LCK
10,Kongdoo Mongster,107,1560.02062979,24.0,47.0,LCK
11,Kongdoo Monster,107,1560.02062979,24.0,47.0,LCK
12,LGD Gaming,109,1728.762972,49.0,56.0,LPL
13,BBQ Olivers,11,1598.65636848,37.0,51.0,LCK
14,Lyon Gaming,111,1589.31586542,9.0,8.0,MSI
15,MAD Team,112,1702.0002522,27.0,21.0,CBLoL
16,MVP,113,1548.21870239,48.0,65.0,LCK
17,Machi 17,114,1594.10773276,58.0,56.0,LMS
18,Machi17,114,1594.10773276,58.0,56.0,LMS
19,Masters 3,116,1535.48850503,2.0,3.0,NALCS
20,Midnight Sun e-Sports,117,1466.06117264,6.0,22.0,NALCS
21,Millenium,118,1444.81636807,13.0,15.0,EUCS
22,Misfits,119,1638.57685104,58.0,39.0,EULCS
23,Besiktas,12,1693.01328232,0.0,2.0,LPL
24,Misfits Academy,120,1535.85098809,4.0,6.0,EUCS
25,Mousesports,121,1403.12971677,1.0,4.0,NALCS
26,Mysterious Monkeys,122,1372.03444207,2.0,12.0,EULCS
27,NRG Esports,123,1403.77275318,16.0,16.0,NALCS
28,Nerv,124,1416.22907414,2.0,3.0,NALCS
29,NewBee,125,1744.39814288,42.0,30.0,LPL
30,Newbee,125,1744.39814288,42.0,30.0,LPL
31,Ninjas in Pyjamas,127,1447.56199094,4.0,16.0,EULCS
32,Nova,128,1522.70604839,2.0,4.0,NALCS
33,OMG,129,1561.82608337,49.0,69.0,LPL
34,Oh My God,129,1561.82608337,49.0,69.0,LPL
35,Big Gods Jackals,13,1418.75987781,9.0,10.0,NACS
36,OpTic Academy,131,,7.0,11.0,LCK
37,OpTic Gaming,132,1543.82313121,7.0,10.0,LMS
38,Operation Kino,133,1423.87973268,11.0,14.0,CBLoL
39,Origen,134,1205.5620508,20.0,36.0,EUCS
40,Oyunhizmetleri,135,1522.87701732,1.0,0.0,NALCS
41,P3P eSports,136,1463.44829972,12.0,9.0,NALCS
42,Paris Saint-Germain,137,1461.23608845,4.0,10.0,EUCS
43,Pentagram,138,1472.79060333,1.0,2.0,EULCS
44,Phoenix1,139,1613.45719607,42.0,39.0,NALCS
45,Big Gods eSports,14,1583.22077602,1.0,6.0,LPL
