split,year,league,gameid,date,week,game,group,team,opp,result,k,d,played
2018-WC,2018,WC,1,10/10/2018,1,1,C,Team Liquid,KT Rolster,1,13,6,X
2018-WC,2018,WC,2,10/10/2018,1,2,C,MAD Team,Cloud9,1,13,0,X
2018-WC,2018,WC,3,10/10/2018,1,3,A,Phong Vu Buffalo,Flash Wolves,1,16,2,X
2018-WC,2018,WC,4,10/10/2018,1,4,A,Afreeca Freecs,EDward Gaming,0,10,17,X
2018-WC,2018,WC,5,10/10/2018,1,5,B,Vitality,Royal Never Give Up,1,18,14,X
2018-WC,2018,WC,6,10/10/2018,1,6,B,Gen.G,G2 Esports,1,19,9,X
2018-WC,2018,WC,7,10/11/2018,1,7,A,Flash Wolves,Afreeca Freecs,1,20,2,X
2018-WC,2018,WC,8,10/11/2018,1,8,A,Phong Vu Buffalo,EDward Gaming,0,1,5,X
2018-WC,2018,WC,9,10/11/2018,1,9,D,Invictus Gaming,Fnatic,0,4,9,X
2018-WC,2018,WC,10,10/11/2018,1,10,D,100 Thieves,G-Rex,1,9,4,X
2018-WC,2018,WC,11,10/11/2018,1,11,B,Vitality,G2 Esports,1,11,7,X
2018-WC,2018,WC,12,10/11/2018,1,12,B,Royal Never Give Up,Gen.G,1,13,7,X
2018-WC,2018,WC,13,10/12/2018,1,13,C,KT Rolster,MAD Team,1,18,8,X
2018-WC,2018,WC,14,10/12/2018,1,14,C,Team Liquid,Cloud9,1,14,11,X
2018-WC,2018,WC,15,10/12/2018,1,15,D,Invictus Gaming,G-Rex,1,28,16,X
2018-WC,2018,WC,16,10/12/2018,1,16,D,Fnatic,100 Thieves,1,16,6,X
2018-WC,2018,WC,17,10/12/2018,1,17,B,Vitality,Gen.G,1,14,9,X
2018-WC,2018,WC,18,10/12/2018,1,18,B,Royal Never Give Up,G2 Esports,1,18,4,X
2018-WC,2018,WC,19,10/13/2018,1,19,A,Phong Vu Buffalo,Afreeca Freecs,0,11,15,X
2018-WC,2018,WC,20,10/13/2018,1,20,A,Flash Wolves,EDward Gaming,1,16,10,X
2018-WC,2018,WC,21,10/13/2018,1,21,D,Invictus Gaming,100 Thieves,0,13,24,X
2018-WC,2018,WC,22,10/13/2018,1,22,D,Fnatic,G-Rex,1,18,9,X
2018-WC,2018,WC,23,10/13/2018,1,23,C,Team Liquid,MAD Team,1,18,2,X
2018-WC,2018,WC,24,10/13/2018,1,24,C,KT Rolster,Cloud9,1,22,9,X
2018-WC,2018,WC,25,10/14/2018,2,25,B,Vitality,Royal Never Give Up,1,16,3,X
2018-WC,2018,WC,26,10/14/2018,2,26,B,Gen.G,G2 Esports,0,0,7,X
2018-WC,2019,WC,27,10/14/2018,2,27,B,Vitality,G2 Esports,,,,
2018-WC,2020,WC,28,10/14/2018,2,28,B,Royal Never Give Up,Gen.G,,,,
2018-WC,2021,WC,29,10/14/2018,2,29,B,Vitality,Gen.G,,,,
2018-WC,2022,WC,30,10/14/2018,2,30,B,Royal Never Give Up,G2 Esports,,,,
2018-WC,2023,WC,31,10/15/2018,2,31,A,Phong Vu Buffalo,Flash Wolves,,,,
2018-WC,2024,WC,32,10/15/2018,2,32,A,Afreeca Freecs,EDward Gaming,,,,
2018-WC,2025,WC,33,10/15/2018,2,33,A,Flash Wolves,Afreeca Freecs,,,,
2018-WC,2026,WC,34,10/15/2018,2,34,A,Phong Vu Buffalo,EDward Gaming,,,,
2018-WC,2027,WC,35,10/15/2018,2,35,A,Phong Vu Buffalo,Afreeca Freecs,,,,
2018-WC,2028,WC,36,10/15/2018,2,36,A,Flash Wolves,EDward Gaming,,,,
2018-WC,2029,WC,37,10/16/2018,2,37,C,Team Liquid,KT Rolster,,,,
2018-WC,2030,WC,38,10/16/2018,2,38,C,MAD Team,Cloud9,,,,
2018-WC,2031,WC,39,10/16/2018,2,39,C,KT Rolster,MAD Team,,,,
2018-WC,2032,WC,40,10/16/2018,2,40,C,Team Liquid,Cloud9,,,,
2018-WC,2033,WC,41,10/16/2018,2,41,C,Team Liquid,MAD Team,,,,
2018-WC,2034,WC,42,10/16/2018,2,42,C,KT Rolster,Cloud9,,,,
2018-WC,2035,WC,43,10/17/2018,2,43,D,Invictus Gaming,Fnatic,,,,
2018-WC,2036,WC,44,10/17/2018,2,44,D,100 Thieves,G-Rex,,,,
2018-WC,2037,WC,45,10/17/2018,2,45,D,Invictus Gaming,G-Rex,,,,
2018-WC,2038,WC,46,10/17/2018,2,46,D,Fnatic,100 Thieves,,,,
2018-WC,2039,WC,47,10/17/2018,2,47,D,Invictus Gaming,100 Thieves,,,,
2018-WC,2040,WC,48,10/17/2018,2,48,D,Fnatic,G-Rex,,,,
